Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Hs_planula_t.40948..792-103,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.40948,792-103,STG_4_DP-22,0.213823,2.80575
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_4_DP-27,0.20331,1.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_4_DP-22,0.197383,1.65383
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_3_DP-25,0.189832,4.23283
Hs_planula_t.21263..1204-488,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21263,1204-488,STG_2_DP-19,0.132974,3.63855
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_1_DP-23,0.132845,1.0
Hs_planula_t.22812..451-65,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.22812,451-65,STG_2_DP-19,0.0879033,1.21508
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_1_DP-17,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_2_DP-19,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_1_DP-23,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_3_DP-21,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_3_DP-25,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_3_DP-26,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_4_DP-22,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_1_DP-18,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_2_DP-20,0.0,0.0
Hs_planula_t.11713..435-1,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.11713,435-1,STG_2_DP-24,0.0,0.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_4_DP-27,0.0,0.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_4_DP-28,0.0,0.0
Hs_planula_t.20655..3-353,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.20655,3-353,STG_4_DP-22,0.0,0.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_1_DP-17,0.0,0.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_2_DP-19,0.0,0.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_1_DP-23,0.0,0.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_3_DP-26,0.0,0.0
Hs_planula_t.21264..255-572,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.21264,255-572,STG_1_DP-18,0.0,0.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_1_DP-17,0.0,0.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_4_DP-28,0.0,0.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_3_DP-25,0.0,0.0
Hs_planula_t.23688..188-1144,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.23688,188-1144,STG_1_DP-18,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_1_DP-17,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_2_DP-19,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_4_DP-27,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_3_DP-21,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_3_DP-25,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_3_DP-26,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_4_DP-22,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_1_DP-18,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_2_DP-20,0.0,0.0
Hs_planula_t.3778..394-2,OG0000012,CRX;VSX1;VSX2;RAX2,Hs_planula_t.3778,394-2,STG_2_DP-24,0.0,0.0
